Product_name,Pricing,Ratings
Apple iPhone SE (Black|64 GB), Rs.42500, 4.5
Apple iPhone SE (White|64 GB), Rs.42500, 4.5
Apple iPhone SE (Red|64 GB), Rs.42500, 4.5
Apple iPhone SE (Black|128 GB), Rs.47800, 4.5
Apple iPhone 11 (Black|64 GB), Rs.68300, 4.7
Apple iPhone 7 (Black|32 GB), Rs.29499, 4.5
Apple iPhone SE (White|128 GB), Rs.47800, 4.5
Apple iPhone SE (Red|128 GB), Rs.47800, 4.5
Apple iPhone XR (White|64 GB), Rs.52500, 4.6
Apple iPhone 11 (Black|128 GB), Rs.73600, 4.7
Apple iPhone XR (Black|128 GB), Rs.57800, 4.6
Apple iPhone 11 (White|128 GB), Rs.73600, 4.7
Apple iPhone 7 Plus (Black|32 GB), Rs.36999, 4.5
Apple iPhone XR ((PRODUCT)RED|128 GB), Rs.57800, 4.6
Apple iPhone 11 (Purple|128 GB), Rs.73600, 4.7
Apple iPhone 11 (White|64 GB), Rs.68300, 4.7
Apple iPhone 11 (Green|64 GB), Rs.68300, 4.7
Apple iPhone XR (Coral|128 GB), Rs.57800, 4.6
Apple iPhone XR (Yellow|64 GB), Rs.52500, 4.6
Apple iPhone XS (Space Grey|64 GB), Rs.62999, 4.7
Apple iPhone 7 Plus (Gold|128 GB), Rs.45810, 4.5
Apple iPhone 11 (Purple|64 GB), Rs.68300, 4.7
Apple iPhone 11 (Red|128 GB), Rs.73600, 4.7
Apple iPhone 7 Plus (Gold|32 GB), Rs.36999, 4.5
Apple iPhone XR (White|128 GB), Rs.57800, 4.6
Apple iPhone 6s (Space Grey|32 GB), Rs.29746, 4.5
Apple iPhone 11 (Red|64 GB), Rs.68300, 4.7
Apple iPhone 7 Plus (Rose Gold|32 GB), Rs.36999, 4.5
Apple iPhone SE (White|256 GB), Rs.58300, 4.5
Apple iPhone 8 (Silver|64 GB), Rs.38999, 4.5
Apple iPhone XR (Yellow|128 GB), Rs.57800, 4.6
Apple iPhone 11 Pro Max (Gold|64 GB), Rs.117100, 4.7
Apple iPhone 11 Pro Max (Space Grey|64 GB), Rs.117100, 4.7
Apple iPhone 11 Pro (Gold|64 GB), Rs.106600, 4.7
Apple iPhone 8 Plus (PRODUCT)RED (Red|64 GB), Rs.52990, 4.6
Apple iPhone 8 (PRODUCT)RED (Red|256 GB), Rs.56999, 4.7
Apple iPhone 11 Pro (Space Grey|256 GB), Rs.121300, 4.7
Apple iPhone XS (Silver|256 GB), Rs.84900, 4.7
Apple iPhone 11 Pro Max (Silver|64 GB), Rs.117100, 4.7
Apple iPhone XS Max (Space Grey|512 GB), Rs.119900, 4.6
